name,am_college_id,staff-directory,selector
South Puget Sound Community College,35799,https://spscc.prestosports.com/athletics/About/Staff_Directory/index,
Labette Community College,31646,https://www.labette.edu/directory/athletics.html,
Lamar University,32768,https://lamarcardinals.com/staff-directory,
Fairleigh Dickinson University-Metropolitan Campus,35375,https://fduknights.com/staff-directory,
Trevecca Nazarene University,32932,https://www.tnutrojans.com/information/directory/index,
Trinity Baptist College,34994,https://tbc.edu/contact/staff-directory/,
Trinity Bible College and Graduate School,35499,https://www.tbclions.com/information/directory/index,
Trinity Christian College,31515,https://www.trollsathletics.com/information/directory/index,
Gadsden State Community College,30811,https://www.gadsdenstate.edu/student-life/athletics.cms,
Lawson State Community College,30821,https://athletics.lawsonstate.edu/staff-directory,
D'Youville University,32261,https://athletics.dyc.edu/inside_athletics/directory/index,
Worcester State University,31874,https://www.wsulancers.com/information/directory/index,
Reinhardt University,31379,https://reinhardteagles.com/information/directory/index,
Averett University,36168,https://averettcougars.com/staff-directory,
Tufts University,35195,https://www.gotuftsjumbos.com/information/directory/index,
Brigham Young University-Provo,30953,https://bcuchargers.com/staff-directory,
College of Alameda,30930,https://alameda.edu/athletics/athletics-director-staff-directory/,
Antelope Valley College,34858,https://gomarauders.avc.edu/information/directory/index,
Warren Wilson College,35488,https://warrenwilsonowls.com/information/directory/index,
Eckerd College,31668,https://eckerdtritons.com/staff-directory,
Mount Saint Mary College,32299,https://msmcknights.com/staff-directory,
City College of San Francisco,30979,https://ccsfathletics.com/information/directory/index,
Umpqua Community College,35556,https://goriverhawks.com/staff-directory,
United States Air Force Academy,31194,https://goairforcefalcons.com/staff-directory,
United States Coast Guard Academy,31228,https://www.uscgasports.com/information/directory/index,
Ursinus College,35616,https://www.ursinusathletics.com/information/directory/index,
Utica College,32374,https://uticapioneers.com/staff-directory,
Cuesta College,30993,https://www.cuestaathletics.com/information/directory/index,
Cuyahoga Community College District,32515,https://athletics.crown.edu/staff-directory,
North Central Texas College,35714,https://n4csports.com/staff.aspx,
Valley Forge Military College,36143,https://vstateblazers.com/staff-directory,
Edgewood College,34590,https://edgewoodcollegeeagles.com/staff-directory,
Finger Lakes Health College of Nursing & Health Sciences,36223,https://fsubroncos.com/staff-directory,
Valparaiso University,36144,https://uvfpatriots.com/staff-directory,
Lane College,32908,https://golcdragons.com/staff-directory,
Anna Maria College,30904,https://www.goamcats.com/inside_athletics/directory/index,
Pennsylvania College of Technology,32041,https://pctwildcats.com/staff-directory,
Ventura College,31146,http://www.vcweplayhard.com/information/directory/index,
University of Minnesota-Duluth,31962,https://umdbulldogs.com/staff-directory,
Vermilion Community College,31995,https://www.vassarathletics.com/staff-directory,
Hibbing Community College,31950,https://hibbing.edu/athletics/,
Vermont Technical College,35762,https://www.vassarathletics.com/staff-directory,
Edmonds Community College,33152,https://gofightingscots.com/staff-directory,
Morton College,31493,https://gomcpanthers.com/staff-directory,
Viterbo University,36145,https://viterbo.prestosports.com/information/directory/index,
Edward Waters University,31253,https://gofightingscots.com/staff-directory,
American River College,30940,https://www.arcbeavers.com/Inside_Athletics/directory/index,
Voorhees College,35666,https://vwuathletics.com/staff-directory,
Fort Valley State University,31357,https://fvsusports.com/staff-directory,
Wake Forest University,32329,https://wagnerathletics.com/staff-directory,
Bishop State Community College,30832,https://bscsports.net/staff-directory,
Oglethorpe University,31378,https://goyeo.com/staff-directory,
Pratt Community College,31656,https://pvpanthers.com/staff-directory,
Concordia College-New York,31399,https://www.concordiacollege.edu/student-life/athletics-recreational-sports/athletics-staff/,
Southern Illinois University-Carbondale,31519,https://siusalukis.com/staff-directory,
Walla Walla University,33185,https://uwolves.com/staff-directory,
Bryant & Stratton College-Racine,36581,https://brownbears.com/staff-directory,
George C Wallace State Community College-Hanceville,30817,https://athletics.geneva.edu/staff-directory,
Western Connecticut State University,31225,https://gomountaineers.com/staff-directory,
Washington and Lee University,35780,https://gopresidents.com/staff-directory,
Washington State University,34616,https://wsucougars.com/staff-directory,
Washington University in St Louis,35323,https://wsucougars.com/staff-directory,
Wayland Baptist University,34790,https://wbuathletics.com/staff-directory,
Wayne County Community College District,35236,https://wbuathletics.com/staff-directory,
University of Saint Francis-Fort Wayne,31563,https://richmondspiders.com/staff-directory,
Waynesburg University,35629,https://wsuathletics.com/staff-directory,
University of the Cumberlands,33559,https://cumberlandspatriots.com/staff-directory,
Webster University,35325,https://websterathletics.com/staff-directory,
Palomar College,31085,https://pbasailfish.com/staff-directory,
Indiana University-Bloomington,33845,https://iupathletics.com/staff-directory,
Wellesley College,32341,https://websterathletics.com/staff-directory,
MidAmerica Nazarene University,31647,https://mnusports.com/staff-directory,
Phoenix College,30874,https://gofalconsports.com/staff-directory,
Welch College,31575,https://websterathletics.com/staff-directory,
Wells College,32375,https://websterathletics.com/staff-directory,
Panola College,36087,https://pbasailfish.com/staff-directory,
The University of Texas Rio Grande Valley,33011,https://goutrgv.com/staff-directory,
Elmhurst University,35032,https://elmhurstbluejays.com/staff-directory,
Wentworth Institute of Technology,35206,https://websterathletics.com/staff-directory,
Ellsworth Community College,32957,https://etownbluejays.com/staff-directory,
Elon University,32400,https://etownbluejays.com/staff-directory,
Wesley College,31232,https://websterathletics.com/staff-directory,
John C Calhoun State Community College,30827,https://jbuathletics.com/staff-directory,
University of West Alabama,34811,https://uwaathletics.com/staff-directory,
Lincoln University,32718,https://lmurailsplitters.com/staff-directory,
University of Northwestern Ohio,32555,https://unweagles.com/staff-directory,
Suffolk University,31855,https://stonybrookathletics.com/staff-directory,
Pitt Community College,32441,https://upikebears.com/staff-directory,
Central Michigan University,31891,https://cmuchippewas.com/staff-directory,
Mid Michigan College,31909,https://msuspartans.com/staff-directory,
Emerson College,31827,https://erauathletics.com/staff-directory,
University of Massachusetts-Boston,31835,https://umbcretrievers.com/staff-directory,
The University of West Florida,34990,https://goargos.com/staff-directory,
Emmanuel College,31822,https://erauathletics.com/staff-directory,
University of the Incarnate Word,32985,https://cumberlandspatriots.com/staff-directory,
Johnson & Wales University-Providence,35641,https://hopkinssports.com/staff-directory,
Minnesota State University-Mankato,31961,https://www.msumdragons.com/staff-directory,
Redlands Community College,32603,https://redeemerroyals.ca/staff-directory,
College of the Redwoods,36103,https://goholycross.com/staff-directory,
Saint Johns University,31984,https://gojohnnies.com/staff-directory,
Lyon College,34837,https://lyonscots.com/staff-directory,
Vanguard University of Southern California,31125,https://uvfpatriots.com/staff-directory,
University of New Hampshire-Main Campus,36713,https://unlvrebels.com/staff-directory,
University of Nebraska-Lincoln,32107,https://omavs.com/staff-directory,
Western Oregon University,33239,https://wouwolves.com/staff-directory,
South Georgia Technical College,31376,https://gojacks.com/staff-directory,
Westmont College,34937,https://athletics.westmont.edu/staff-directory,
Framingham State University,35184,https://fvsusports.com/staff-directory,
Saint Francis University,35605,,
The University of Texas of the Permian Basin,35747,https://seueagles.com/staff-directory,
Raritan Valley Community College,36102,https://randolphwildcats.com/staff-directory,
Wharton County Junior College,35750,https://athletics.westmont.edu/staff-directory,
Oregon State University,32650,https://osubeavers.com/staff-directory,
Wheaton College,35052,https://athletics.wheaton.edu/staff-directory,
Tacoma Community College,33181,https://tacomatitans.com/staff-directory,
Riverside City College,31102,https://riponredhawks.com/staff-directory,
Vaughn College of Aeronautics and Technology,35391,https://www.vassarathletics.com/staff-directory,
Whitman College,35792,https://athletics.whitman.edu/staff-directory,
Emory & Henry College,35773,https://goeclions.com/staff-directory,
Estrella Mountain Community College,34604,https://erskinesports.com/staff-directory,
Everett Community College,35783,https://gopurpleaces.com/staff-directory,
New York Institute of Technology,33104,,
Wilberforce University,32717,https://widenerpride.com/staff-directory,
Menlo College,31057,https://mecathletics.com/staff-directory,
Feather River Community College District,34886,https://fsubroncos.com/staff-directory,
Paul Smiths College of Arts and Science,32727,,
Evergreen Valley College,34885,https://gogeoducks.com/staff-directory,
Felician University,33026,https://fsubroncos.com/staff-directory,
Finlandia University,35234,https://fulions.com/staff-directory,
Santa Barbara City College,31117,https://sjsuspartans.com/staff-directory,
West Valley College,31151,https://gobuffsgo.com/sports/general/staff,
Wiley College,33056,https://widenerpride.com/staff-directory,
Willamette University,32668,https://gowilkesu.com/staff-directory,
University of Alabama in Huntsville,30807,https://uabsports.com/staff-directory,
Roosevelt University,31500,https://rollinssports.com/staff-directory,
Albertus Magnus College,30889,https://asugoldenrams.com/staff-directory,
Nova Southeastern University,33127,https://nsusharks.com/staff-directory,
SUNY College of Technology at Alfred,30882,https://fightingtigers.cobleskill.edu/staff-directory,
Allan Hancock College,34849,https://gosaxons.com/staff-directory,
William & Mary,33096,https://gowilkesu.com/staff-directory,
Fitchburg State University,31825,https://fulions.com/staff-directory,
Pomona College,31093,https://plnusealions.com/staff-directory,
William Carey University,35270,https://tribeathletics.com/staff-directory,
Laramie County Community College,32811,https://langstonsports.com/staff-directory,
William Jessup University,31110,https://jessupathletics.com/staff-directory,
William Penn University,31612,https://gopeacepacers.com/sports/general/staff,
William Woods University,35330,https://hwsathletics.com/staff-directory,
Pennsylvania State University-Penn State Berks,36737,,
Columbia International University,35651,https://ciurams.com/staff-directory,
Williamson College of the Trades,35630,https://ephsports.williams.edu/staff-directory,
Ranger College,35735,https://randolphwildcats.com/staff-directory,
